Date,Open,High,Low,Close,Adj Close,Volume
2023-03-01,82.010002,83.269997,82.000000,82.470001,82.112862,7740800
2023-03-02,82.040001,83.610001,81.849998,83.410004,83.048790,6334900
2023-03-03,83.959999,84.650002,83.309998,84.599998,84.233635,5997300
2023-03-06,84.269997,84.269997,83.089996,83.230003,82.869568,5481400
2023-03-07,82.919998,82.919998,81.300003,81.589996,81.236664,6760300
2023-03-08,81.629997,82.190002,81.349998,81.989998,81.634933,5795200
2023-03-09,82.050003,82.320000,79.629997,79.879997,79.534073,6425900
2023-03-10,79.910004,79.930000,77.760002,78.180000,77.841438,13062400
2023-03-13,77.400002,78.440002,76.800003,77.379997,77.044899,20352400
2023-03-14,78.510002,79.279999,77.519997,78.370003,78.030617,8238600
2023-03-15,76.349998,76.519997,74.769997,75.830002,75.501617,14262200
2023-03-16,75.110001,76.800003,74.879997,76.699997,76.367844,10802800
2023-03-17,76.430000,76.449997,75.379997,75.510002,75.182999,9543500
2023-03-20,75.769997,76.769997,75.769997,76.730003,76.730003,7392900
2023-03-21,77.629997,77.989998,77.139999,77.660004,77.660004,4749000
2023-03-22,77.529999,78.110001,76.260002,76.279999,76.279999,7327300
2023-03-23,76.620003,77.720001,75.599998,76.190002,76.190002,6719800
2023-03-24,75.610001,76.989998,75.059998,76.809998,76.809998,6732600
2023-03-27,77.610001,77.930000,76.820000,77.379997,77.379997,5307000
2023-03-28,77.370003,77.879997,77.290001,77.750000,77.750000,5124000
2023-03-29,78.750000,78.879997,78.480003,78.830002,78.830002,4135100
2023-03-30,79.650002,79.699997,79.080002,79.370003,79.370003,4216700
2023-03-31,79.379997,80.699997,79.379997,80.660004,80.660004,6763100
2023-04-03,80.820000,81.379997,80.570000,81.169998,81.169998,8064300
2023-04-04,80.970001,81.010002,79.690002,80.000000,80.000000,8748700
2023-04-05,79.400002,79.930000,79.099998,79.820000,79.820000,9280500
2023-04-06,79.290001,79.709999,79.040001,79.629997,79.629997,9515700
2023-04-10,79.320000,80.150002,79.239998,80.010002,80.010002,4633600
2023-04-11,80.370003,80.809998,80.339996,80.779999,80.779999,983772
